id,category,value,description,source_name,source_year,source_url,context,permalink,embed_url,license,attribution
stl-1pct-b2b,Speed to Lead Statistics,1%,Only 1% of B2B companies respond to leads in under 5 minutes.,Amplemarket,2024,,,https://prestyj.com/stat/stl-1pct-b2b,https://prestyj.com/embed/stat/stl-1pct-b2b,CC BY 4.0,Prestyj — https://prestyj.com
stl-instant-66,Speed to Lead Statistics,66.7%,Instant lead response achieves a 66.7% meeting booking rate vs. ~30% for standard delayed follow-up.,Chili Piper (analysis of 4M form submissions),2025,,,https://prestyj.com/stat/stl-instant-66,https://prestyj.com/embed/stat/stl-instant-66,CC BY 4.0,Prestyj — https://prestyj.com
stl-50pct-first,Speed to Lead Statistics,50%+,"Over 50% of people hire the first business to respond, even if that business is more expensive.",Forbes (via Verse.ai),2025,,,https://prestyj.com/stat/stl-50pct-first,https://prestyj.com/embed/stat/stl-50pct-first,CC BY 4.0,Prestyj — https://prestyj.com
stl-53pct-frustration,Speed to Lead Statistics,53%,53% of consumers say waiting too long is the most frustrating part of dealing with businesses.,Tidio,2025,,,https://prestyj.com/stat/stl-53pct-frustration,https://prestyj.com/embed/stat/stl-53pct-frustration,CC BY 4.0,Prestyj — https://prestyj.com
vid-89pct,Video Advertising Statistics,89%,"89% of businesses now use video as a marketing tool, up from 63% five years ago.",Wyzowl Video Marketing Statistics,2025,https://www.wyzowl.com/video-marketing-statistics/,,https://prestyj.com/stat/vid-89pct,https://prestyj.com/embed/stat/vid-89pct,CC BY 4.0,Prestyj — https://prestyj.com
vid-93pct-roi,Video Advertising Statistics,93%,93% of marketers report a strong ROI from video marketing content.,Wyzowl,2025,,,https://prestyj.com/stat/vid-93pct-roi,https://prestyj.com/embed/stat/vid-93pct-roi,CC BY 4.0,Prestyj — https://prestyj.com
vid-85b-vs-59b,Video Advertising Statistics,$85B vs $59B,"US digital video ad spend ($85B) has surpassed traditional TV ad spend ($59B), signaling a permanent shift.",Statista (via HubSpot),2024,,,https://prestyj.com/stat/vid-85b-vs-59b,https://prestyj.com/embed/stat/vid-85b-vs-59b,CC BY 4.0,Prestyj — https://prestyj.com
vid-64pct-purchase,Video Advertising Statistics,64%,64% of consumers make a purchase after watching branded social media videos.,WordStream,2024,,,https://prestyj.com/stat/vid-64pct-purchase,https://prestyj.com/embed/stat/vid-64pct-purchase,CC BY 4.0,Prestyj — https://prestyj.com
vid-300pct-email,Video Advertising Statistics,+300%,Including video in email campaigns increases click-through rates by 300%.,WordStream / Single Grain,2024,,,https://prestyj.com/stat/vid-300pct-email,https://prestyj.com/embed/stat/vid-300pct-email,CC BY 4.0,Prestyj — https://prestyj.com
vid-38pct-lp,Video Advertising Statistics,38%,Landing pages with embedded video see a 38% higher conversion rate compared to image-only pages (21%).,Zebracat,2025,,,https://prestyj.com/stat/vid-38pct-lp,https://prestyj.com/embed/stat/vid-38pct-lp,CC BY 4.0,Prestyj — https://prestyj.com
vid-completion-15s,Video Advertising Statistics,+53%,Video ads under 15 seconds have a 53% higher completion rate than ads over 30 seconds.,Zebracat,2025,,,https://prestyj.com/stat/vid-completion-15s,https://prestyj.com/embed/stat/vid-completion-15s,CC BY 4.0,Prestyj — https://prestyj.com
vid-mobile-28pct,Video Advertising Statistics,+28%,Mobile video ads generate 28% higher engagement than desktop video ads.,Zebracat,2025,,,https://prestyj.com/stat/vid-mobile-28pct,https://prestyj.com/embed/stat/vid-mobile-28pct,CC BY 4.0,Prestyj — https://prestyj.com
vid-92pct-roi,Video Advertising Statistics,92%,"92% of marketers say video delivers a positive ROI, compared to 74% for static images.",Zebracat,2025,,,https://prestyj.com/stat/vid-92pct-roi,https://prestyj.com/embed/stat/vid-92pct-roi,CC BY 4.0,Prestyj — https://prestyj.com
vid-87pct-buy,Video Advertising Statistics,87%,87% of consumers say they have been convinced to buy a product or service by watching a video.,SellersCommerce,2025,,,https://prestyj.com/stat/vid-87pct-buy,https://prestyj.com/embed/stat/vid-87pct-buy,CC BY 4.0,Prestyj — https://prestyj.com
vid-96pct-ai,Video Advertising Statistics,96%,96% of marketers believe AI will be central to video production workflows within the next few years.,Lemonlight,2025,,,https://prestyj.com/stat/vid-96pct-ai,https://prestyj.com/embed/stat/vid-96pct-ai,CC BY 4.0,Prestyj — https://prestyj.com
vid-82pct-ai-roi,Video Advertising Statistics,+82%,AI-driven video marketing campaigns deliver an 82% increase in ROI; AI product demo videos boost conversions by 40%.,SellersCommerce,2025,,,https://prestyj.com/stat/vid-82pct-ai-roi,https://prestyj.com/embed/stat/vid-82pct-ai-roi,CC BY 4.0,Prestyj — https://prestyj.com
ai-56pct-daily,AI Adoption in Sales Statistics,56%,56% of sales professionals use AI daily — and daily AI users are 2× more likely to exceed their targets.,LinkedIn State of Sales,2025,,,https://prestyj.com/stat/ai-56pct-daily,https://prestyj.com/embed/stat/ai-56pct-daily,CC BY 4.0,Prestyj — https://prestyj.com
ai-24-to-43,AI Adoption in Sales Statistics,24% → 43%,"AI adoption among sales reps nearly doubled in one year, growing from 24% in 2023 to 43% in 2024 — a 79% year-over-year increase.",HubSpot State of AI in Sales,2024,,,https://prestyj.com/stat/ai-24-to-43,https://prestyj.com/embed/stat/ai-24-to-43,CC BY 4.0,Prestyj — https://prestyj.com
ai-37x-quota,AI Adoption in Sales Statistics,3.7×,Sellers who partner with AI are 3.7× more likely to meet their sales quota.,Gartner,2025,,,https://prestyj.com/stat/ai-37x-quota,https://prestyj.com/embed/stat/ai-37x-quota,CC BY 4.0,Prestyj — https://prestyj.com
ai-15pct-conv,AI Adoption in Sales Statistics,15–30%,"AI-using sales teams see a 15% boost in sales conversions, with lead conversion improvements up to 30%.",Datagrid,2025,,,https://prestyj.com/stat/ai-15pct-conv,https://prestyj.com/embed/stat/ai-15pct-conv,CC BY 4.0,Prestyj — https://prestyj.com
ai-45pct-deals,AI Adoption in Sales Statistics,45%,Salespeople using AI and machine learning tools close 45% more deals than those who don't.,Forrester (via Datagrid),2025,,,https://prestyj.com/stat/ai-45pct-deals,https://prestyj.com/embed/stat/ai-45pct-deals,CC BY 4.0,Prestyj — https://prestyj.com
ai-81pct-rev,AI Adoption in Sales Statistics,81%,81% of revenue increase reported by AI-using sales teams vs. 66% for non-AI teams — a 17 percentage-point gap.,Datagrid,2025,,,https://prestyj.com/stat/ai-81pct-rev,https://prestyj.com/embed/stat/ai-81pct-rev,CC BY 4.0,Prestyj — https://prestyj.com
ai-86pct-roi-year1,AI Adoption in Sales Statistics,86%,86% of sales teams see a positive ROI within the first year of adopting AI tools.,Sopro,2026,,,https://prestyj.com/stat/ai-86pct-roi-year1,https://prestyj.com/embed/stat/ai-86pct-roi-year1,CC BY 4.0,Prestyj — https://prestyj.com
ai-40pct-productivity,AI Adoption in Sales Statistics,+40%,"AI tools can boost sales productivity by up to 40%, while also reducing sales cycles by approximately 25%.",Sopro,2026,,,https://prestyj.com/stat/ai-40pct-productivity,https://prestyj.com/embed/stat/ai-40pct-productivity,CC BY 4.0,Prestyj — https://prestyj.com
ai-28pct-quota,AI Adoption in Sales Statistics,28%,Only 28% of sales reps hit their annual quota — the lowest rate in six years — creating urgency for AI assistance.,Salesforce State of Sales,2024–2025,,,https://prestyj.com/stat/ai-28pct-quota,https://prestyj.com/embed/stat/ai-28pct-quota,CC BY 4.0,Prestyj — https://prestyj.com
ai-25pct-selling,AI Adoption in Sales Statistics,25%,"Sales reps spend only about 25% of their time actually selling — the rest goes to admin, data entry, and internal meetings.",Bain & Company,2025,,,https://prestyj.com/stat/ai-25pct-selling,https://prestyj.com/embed/stat/ai-25pct-selling,CC BY 4.0,Prestyj — https://prestyj.com
ai-62pct-agents,AI Adoption in Sales Statistics,62%,"62% of organizations are now experimenting with AI agents (39% experimenting, 23% already scaling).",McKinsey Global AI Survey,2025,,,https://prestyj.com/stat/ai-62pct-agents,https://prestyj.com/embed/stat/ai-62pct-agents,CC BY 4.0,Prestyj — https://prestyj.com
ai-trillion,AI Adoption in Sales Statistics,$1.2T,McKinsey estimates generative AI could unlock $0.8–1.2 trillion in productivity gains across sales and marketing functions.,McKinsey (via Everstage),2025,,,https://prestyj.com/stat/ai-trillion,https://prestyj.com/embed/stat/ai-trillion,CC BY 4.0,Prestyj — https://prestyj.com
lc-7x-1hr,Lead Response & Conversion Statistics,7×,Companies are 7× more likely to qualify a lead when they respond within 1 hour vs. after 1 hour.,Harvard Business Review,2011 (re-cited 2024–2026),,,https://prestyj.com/stat/lc-7x-1hr,https://prestyj.com/embed/stat/lc-7x-1hr,CC BY 4.0,Prestyj — https://prestyj.com
lc-60x-1hr,Lead Response & Conversion Statistics,60×,You are 60× more likely to qualify a lead within 1 hour vs. waiting 24 hours.,Teamgate (citing HBR),2025,,,https://prestyj.com/stat/lc-60x-1hr,https://prestyj.com/embed/stat/lc-60x-1hr,CC BY 4.0,Prestyj — https://prestyj.com
lc-13-attempts,Lead Response & Conversion Statistics,1.3,The average sales rep makes only 1.3 call attempts before giving up on a lead — far below the 6–8 attempts recommended for optimal contact rates.,"Multiple sources (Teamgate, rework.com)",2025,,,https://prestyj.com/stat/lc-13-attempts,https://prestyj.com/embed/stat/lc-13-attempts,CC BY 4.0,Prestyj — https://prestyj.com
lc-15pct-day1,Lead Response & Conversion Statistics,< 15%,Less than 15% of lead follow-up attempts happen within the first day of receiving the inquiry.,InsideSales (via Convoso),2025,,,https://prestyj.com/stat/lc-15pct-day1,https://prestyj.com/embed/stat/lc-15pct-day1,CC BY 4.0,Prestyj — https://prestyj.com
lc-51pct-never,Lead Response & Conversion Statistics,51%,"51% of leads are never contacted at all, representing a massive untapped revenue opportunity.",InsideSales,"2021, re-cited 2025",,,https://prestyj.com/stat/lc-51pct-never,https://prestyj.com/embed/stat/lc-51pct-never,CC BY 4.0,Prestyj — https://prestyj.com
lc-57pct-week,Lead Response & Conversion Statistics,57%,57% of companies take a full week or more to respond to inbound leads.,InsideSales (via Verse.ai),2025,,,https://prestyj.com/stat/lc-57pct-week,https://prestyj.com/embed/stat/lc-57pct-week,CC BY 4.0,Prestyj — https://prestyj.com
lc-37pct-1hr,Lead Response & Conversion Statistics,37%,Only 37% of businesses respond to leads within the first hour.,Harvard Business Review,"2011, re-cited 2024–2025",,,https://prestyj.com/stat/lc-37pct-1hr,https://prestyj.com/embed/stat/lc-37pct-1hr,CC BY 4.0,Prestyj — https://prestyj.com
lc-48pct-rev,Lead Response & Conversion Statistics,48%,48% of sales teams using AI report a direct boost in revenue from improved lead response and follow-up.,Spekit,2025,,,https://prestyj.com/stat/lc-48pct-rev,https://prestyj.com/embed/stat/lc-48pct-rev,CC BY 4.0,Prestyj — https://prestyj.com
lc-20-30pct-pred,Lead Response & Conversion Statistics,20–30%,Predictive AI models improve lead conversion rates by 20–30% through better scoring and prioritization.,Sopro,2026,,,https://prestyj.com/stat/lc-20-30pct-pred,https://prestyj.com/embed/stat/lc-20-30pct-pred,CC BY 4.0,Prestyj — https://prestyj.com
lc-12pp-quota,Lead Response & Conversion Statistics,+12pp,AI sales tools improve quota attainment by 12 percentage points (from 65% to 77%) across 939 companies studied.,Optifai,2025,,,https://prestyj.com/stat/lc-12pp-quota,https://prestyj.com/embed/stat/lc-12pp-quota,CC BY 4.0,Prestyj — https://prestyj.com
ind-cpl-70,Industry Benchmarks: Cost Per Lead & Conversion Rates,$70.11,The average cost per lead in Google Ads across all industries in 2025 — up 5.13% year-over-year.,"WordStream/LocaliQ (16,000+ Google Ads campaigns)",2025,,,https://prestyj.com/stat/ind-cpl-70,https://prestyj.com/embed/stat/ind-cpl-70,CC BY 4.0,Prestyj — https://prestyj.com
ind-cpl-legal,Industry Benchmarks: Cost Per Lead & Conversion Rates,$131.63,Attorneys & legal services have the highest average cost per lead in Google Ads at $131.63 — nearly double the cross-industry average.,WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-cpl-legal,https://prestyj.com/embed/stat/ind-cpl-legal,CC BY 4.0,Prestyj — https://prestyj.com
ind-cpl-auto,Industry Benchmarks: Cost Per Lead & Conversion Rates,$28.50,"Automotive repair, service & parts businesses have the lowest average cost per lead at just $28.50.",WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-cpl-auto,https://prestyj.com/embed/stat/ind-cpl-auto,CC BY 4.0,Prestyj — https://prestyj.com
ind-cpl-biz,Industry Benchmarks: Cost Per Lead & Conversion Rates,$103.54,Business services companies pay an average of $103.54 per lead — one of the highest CPLs across all industries.,WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-cpl-biz,https://prestyj.com/embed/stat/ind-cpl-biz,CC BY 4.0,Prestyj — https://prestyj.com
ind-ctr-66,Industry Benchmarks: Cost Per Lead & Conversion Rates,6.66%,The average click-through rate across all Google Ads industries in 2025.,WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-ctr-66,https://prestyj.com/embed/stat/ind-ctr-66,CC BY 4.0,Prestyj — https://prestyj.com
ind-cvr-752,Industry Benchmarks: Cost Per Lead & Conversion Rates,7.52%,The average conversion rate across all Google Ads industries in 2025.,WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-cvr-752,https://prestyj.com/embed/stat/ind-cvr-752,CC BY 4.0,Prestyj — https://prestyj.com
ind-cpc-526,Industry Benchmarks: Cost Per Lead & Conversion Rates,$5.26,The average cost per click in Google Ads across all industries in 2025.,WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-cpc-526,https://prestyj.com/embed/stat/ind-cpc-526,CC BY 4.0,Prestyj — https://prestyj.com
ind-linkedin-110,Industry Benchmarks: Cost Per Lead & Conversion Rates,$110,The average cost per lead on LinkedIn is $110 — approximately 57% higher than Google Search's $70.11 average.,Flywheel Digital,2025,,,https://prestyj.com/stat/ind-linkedin-110,https://prestyj.com/embed/stat/ind-linkedin-110,CC BY 4.0,Prestyj — https://prestyj.com
ind-auto-conv,Industry Benchmarks: Cost Per Lead & Conversion Rates,14.67%,Automotive repair businesses achieve the highest Google Ads conversion rate at 14.67% — nearly double the cross-industry average.,WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-auto-conv,https://prestyj.com/embed/stat/ind-auto-conv,CC BY 4.0,Prestyj — https://prestyj.com
ind-education-cpl-up,Industry Benchmarks: Cost Per Lead & Conversion Rates,+25.87%,Cost per lead in Education & Instruction rose 25.87% year-over-year — the steepest increase across all industries.,WordStream/LocaliQ,2025,,,https://prestyj.com/stat/ind-education-cpl-up,https://prestyj.com/embed/stat/ind-education-cpl-up,CC BY 4.0,Prestyj — https://prestyj.com
